dataset,subject_id,canonical_finger_position,harrisz_descriptors_a,harrisz_descriptors_b,sift_descriptors_a,sift_descriptors_b,harrisz_mutual_matches,sift_mutual_matches,harrisz_ransac_inputs,sift_ransac_inputs,harrisz_inliers,sift_inliers
sd300b,00001023,1,3000,3000,3000,3000,7,2,7,2,2,0
sd300b,00001023,2,3000,3000,3000,3000,1,4,1,4,0,3
sd300b,00001023,3,3000,3000,3000,3001,6,5,6,5,2,3
sd300b,00001023,4,3000,3000,3000,3000,2,11,2,11,0,6
sd300b,00001023,5,3000,3000,3001,3000,1,1,1,1,0,0
sd300b,00001023,6,3000,3000,3001,3000,4,3,4,3,2,2
sd300b,00001023,7,3000,3000,3000,3001,4,0,4,0,2,0
sd300b,00001023,8,3000,3000,3000,3001,3,8,3,8,2,5
sd300b,00001023,9,3000,3000,3002,3000,1,1,1,1,0,0
sd300b,00001023,10,3000,3000,3000,3000,1,10,1,10,0,5
sd300b,00001024,1,3000,3000,3000,3000,3,17,3,17,2,7
sd300b,00001024,2,3000,3000,2479,3000,0,4,0,4,0,2
sd300b,00001024,3,3000,3000,2375,3000,5,9,5,9,2,4
sd300b,00001024,4,3000,3000,3000,3000,2,2,2,2,0,0
sd300b,00001024,5,3000,3000,2337,3001,1,5,1,5,0,2
sd300b,00001024,6,3000,3000,3000,3000,5,13,5,13,2,6
sd300b,00001024,7,3000,3000,2125,3002,1,2,1,2,0,0
sd300b,00001024,8,3000,3000,3000,3000,5,17,5,17,2,9
sd300b,00001024,9,3000,3000,2520,3000,5,21,5,21,2,10
sd300b,00001024,10,3000,3000,1243,3000,5,8,5,8,2,5
sd300b,00001025,1,3000,3000,3000,3000,15,56,15,56,3,16
sd300b,00001025,2,3000,3000,2496,3001,9,15,9,15,4,6
sd300b,00001025,3,3000,3000,2873,3001,11,17,11,17,3,9
sd300b,00001025,4,3000,3000,3001,3000,7,41,7,41,2,23
sd300b,00001025,5,3000,3000,3000,3000,12,47,12,47,7,16
sd300b,00001025,6,3000,3000,3000,3001,9,6,9,6,2,2
sd300b,00001025,7,3000,3000,3000,3000,7,39,7,39,3,20
sd300b,00001025,8,3000,3000,3000,3000,7,15,7,15,3,5
sd300b,00001025,9,3000,3000,3000,3001,4,33,4,33,2,10
sd300b,00001025,10,3000,3000,2647,3001,7,71,7,71,4,27
sd300b,00001026,1,3000,3000,3000,3000,1,4,1,4,0,2
sd300b,00001026,2,3000,3000,2122,3000,5,0,5,0,2,0
sd300b,00001026,3,3000,3000,2536,3000,3,18,3,18,3,8
sd300b,00001026,4,3000,3000,3000,3001,8,20,8,20,2,9
sd300b,00001026,5,3000,3000,3000,3000,3,3,3,3,2,2
sd300b,00001026,6,3000,3000,3000,3001,7,9,7,9,2,3
sd300b,00001026,7,3000,3000,3000,3000,5,7,5,7,2,5
sd300b,00001026,8,3000,3000,3000,3002,5,18,5,18,3,10
sd300b,00001026,9,3000,3000,3000,3000,7,10,7,10,2,4
sd300b,00001026,10,3000,3000,3000,3000,2,2,2,2,0,0
sd300b,00001027,1,3000,3000,3000,3000,8,38,8,38,2,12
sd300b,00001027,2,3000,3000,3000,3000,11,20,11,20,3,9
sd300b,00001027,3,3000,3000,3000,3000,12,16,12,16,2,9
sd300b,00001027,4,3000,3000,3000,3000,14,9,14,9,3,5
sd300b,00001027,5,3000,3000,3000,3001,10,8,10,8,2,3
sd300b,00001027,6,3000,3000,3001,3000,10,33,10,33,3,11
sd300b,00001027,7,3000,3000,3000,3000,9,8,9,8,2,3
sd300b,00001027,8,3000,3000,3000,3000,5,14,5,14,2,8
sd300b,00001027,9,3000,3000,3000,3000,9,17,9,17,3,6
sd300b,00001027,10,3000,3000,3000,3001,8,7,8,7,2,4
sd300b,00001028,1,3000,3000,3001,3000,2,8,2,8,0,5
sd300b,00001028,2,3000,3000,1500,3000,1,4,1,4,0,2
sd300b,00001028,3,3000,3000,1992,3000,8,16,8,16,3,5
sd300b,00001028,4,3000,3000,1242,3001,3,2,3,2,2,0
sd300b,00001028,5,3000,3000,837,3000,2,3,2,3,0,2
sd300b,00001028,6,3000,3000,3000,3000,10,55,10,55,2,26
sd300b,00001028,7,3000,3000,3000,3000,6,9,6,9,2,7
sd300b,00001028,8,3000,3000,3000,3000,21,70,21,70,6,23
sd300b,00001028,9,3000,3000,3001,3000,7,30,7,30,3,12
sd300b,00001028,10,3000,3000,2321,3000,5,18,5,18,4,9
sd300b,00001029,1,3000,3000,3000,3000,4,17,4,17,2,6
sd300b,00001029,2,3000,3000,3001,3001,7,13,7,13,3,8
sd300b,00001029,3,3000,3000,3000,3001,6,18,6,18,3,6
sd300b,00001029,4,3000,3000,3000,3000,8,8,8,8,2,4
sd300b,00001029,5,3000,3000,826,3000,2,1,2,1,0,0
sd300b,00001029,6,3000,3000,3000,3000,4,2,4,2,2,0
sd300b,00001029,7,3000,3000,3000,3000,5,15,5,15,2,6
sd300b,00001029,8,3000,3000,3001,3000,4,9,4,9,2,3
sd300b,00001029,9,3000,3000,3000,3000,10,9,10,9,2,4
sd300b,00001029,10,3000,3000,3000,3000,0,0,0,0,0,0
sd300b,00001030,1,3000,3000,3000,3000,6,11,6,11,2,4
sd300b,00001030,2,3000,3000,3000,3000,3,12,3,12,2,4
sd300b,00001030,3,3000,3000,3000,3000,5,19,5,19,2,7
sd300b,00001030,4,3000,3000,3000,3000,4,18,4,18,2,9
sd300b,00001030,5,3000,3000,1022,3000,2,1,2,1,0,0
sd300b,00001030,6,3000,3000,3000,3000,4,3,4,3,2,3
sd300b,00001030,7,3000,3000,3000,3001,4,13,4,13,2,7
sd300b,00001030,8,3000,3000,1394,3000,1,1,1,1,0,0
sd300b,00001030,9,3000,3000,3000,3000,6,6,6,6,2,3
sd300b,00001030,10,3000,3000,3000,3000,5,7,5,7,2,4
sd300b,00001031,1,3000,3000,3000,3000,32,196,32,196,13,75
sd300b,00001031,2,3000,3000,3000,3000,16,61,16,61,6,31
sd300b,00001031,3,3000,3000,3000,3000,5,23,5,23,3,16
sd300b,00001031,4,3000,3000,3001,3000,10,41,10,41,3,16
sd300b,00001031,5,3000,3000,3000,3000,13,23,13,23,2,9
sd300b,00001031,6,3000,3000,3000,3000,37,163,37,163,8,37
sd300b,00001031,7,3000,3000,3000,3000,17,140,17,140,4,42
sd300b,00001031,8,3000,3000,3000,3000,5,19,5,19,2,7
sd300b,00001031,9,3000,3000,3000,3000,3,12,3,12,2,7
sd300b,00001031,10,3000,3000,3001,3001,3,29,3,29,2,11
sd300b,00001032,1,3000,3000,3001,3000,4,3,4,3,2,2
sd300b,00001032,2,3000,3000,2917,3000,3,8,3,8,2,4
sd300b,00001032,3,3000,3000,3000,3000,5,4,5,4,2,2
sd300b,00001032,4,3000,3000,3001,3000,5,11,5,11,2,7
sd300b,00001032,5,3000,3000,3000,3000,5,17,5,17,2,10
sd300b,00001032,6,3000,3000,3000,3001,4,5,4,5,2,3
sd300b,00001032,7,3000,3000,2655,3000,5,11,5,11,2,7
sd300b,00001032,8,3000,3000,3000,3001,5,2,5,2,2,0
sd300b,00001032,9,3000,3000,3000,3001,4,5,4,5,2,3
sd300b,00001032,10,3000,3000,3000,3000,3,5,3,5,2,3
sd300b,00001033,1,3000,3000,3000,3000,6,7,6,7,2,5
sd300b,00001033,2,3000,3000,3000,3000,10,62,10,62,4,31
sd300b,00001033,3,3000,3000,3000,3001,14,52,14,52,5,24
sd300b,00001033,4,3000,3000,3000,3000,17,34,17,34,4,18
sd300b,00001033,5,3000,3000,2511,3000,5,12,5,12,2,5
sd300b,00001033,6,3000,3000,3000,3001,9,34,9,34,3,11
sd300b,00001033,7,3000,3000,3000,3000,5,15,5,15,2,7
sd300b,00001033,8,3000,3000,2467,3000,7,3,7,3,2,2
sd300b,00001033,9,3000,3000,3001,3001,4,9,4,9,4,6
sd300b,00001033,10,3000,3000,1529,3000,5,5,5,5,2,3
sd300b,00001034,1,3000,3000,3000,3001,8,12,8,12,3,6
sd300b,00001034,2,3000,3000,3000,3000,2,4,2,4,0,3
sd300b,00001034,3,3000,3000,3000,3000,4,4,4,4,2,2
sd300b,00001034,4,3000,3000,3000,3000,1,6,1,6,0,2
sd300b,00001034,5,3000,3000,3000,3000,3,0,3,0,2,0
sd300b,00001034,6,3000,3000,3000,3000,2,17,2,17,0,5
sd300b,00001034,7,3000,3000,3000,3001,2,3,2,3,0,2
sd300b,00001034,8,3000,3000,3000,3000,4,3,4,3,2,2
sd300b,00001034,9,3000,3000,3001,3001,5,4,5,4,2,2
sd300b,00001034,10,3000,3000,3000,3000,2,1,2,1,0,0
sd300b,00001035,1,3000,3000,3000,3001,13,22,13,22,4,7
sd300b,00001035,2,3000,3000,3000,3001,12,5,12,5,2,2
sd300b,00001035,3,3000,3000,3001,3001,7,7,7,7,2,2
sd300b,00001035,4,3000,3000,3000,3001,4,9,4,9,2,6
sd300b,00001035,5,3000,3000,2774,3000,4,1,4,1,2,0
sd300b,00001035,6,3000,3000,3000,3000,11,28,11,28,2,18
sd300b,00001035,7,3000,3000,3001,3000,5,17,5,17,2,7
sd300b,00001035,8,3000,3000,3000,3000,8,15,8,15,3,9
sd300b,00001035,9,3000,3000,3000,3000,3,2,3,2,2,0
sd300b,00001035,10,3000,3000,1790,3002,2,1,2,1,0,0
sd300b,00001036,1,3000,3000,3000,3000,3,9,3,9,2,5
sd300b,00001036,2,3000,3000,3000,3000,2,2,2,2,0,0
sd300b,00001036,3,3000,3000,3000,3000,3,3,3,3,2,2
sd300b,00001036,4,3000,3000,3001,3001,1,2,1,2,0,0
sd300b,00001036,5,3000,3000,1841,3000,1,0,1,0,0,0
sd300b,00001036,6,3000,3000,3001,3001,8,18,8,18,2,6
sd300b,00001036,7,3000,3000,2410,3000,1,0,1,0,0,0
sd300b,00001036,8,3000,3000,3000,3000,3,0,3,0,2,0
sd300b,00001036,9,3000,3000,3000,3000,3,4,3,4,2,2
sd300b,00001036,10,3000,3000,1322,3000,2,1,2,1,0,0
sd300b,00001037,1,3000,3000,3000,3000,8,8,8,8,2,4
sd300b,00001037,2,3000,3000,3000,3000,9,53,9,53,4,20
sd300b,00001037,3,3000,3000,3000,3001,5,7,5,7,2,3
sd300b,00001037,4,3000,3000,3000,3000,4,14,4,14,3,6
sd300b,00001037,5,3000,3000,3000,3000,4,42,4,42,3,17
sd300b,00001037,6,3000,3000,3000,3000,6,7,6,7,2,4
sd300b,00001037,7,3000,3000,3000,3000,4,11,4,11,2,4
sd300b,00001037,8,3000,3000,2620,3000,3,14,3,14,2,6
sd300b,00001037,9,3000,3000,3000,3001,3,15,3,15,2,7
sd300b,00001037,10,3000,3000,3001,3000,4,2,4,2,2,0
sd300b,00001038,1,3000,3000,3000,3000,5,4,5,4,2,2
sd300b,00001038,2,3000,3000,3000,3000,1,4,1,4,0,2
