dataset,class,metric,unit,available,source,notes,count,mean,median,p5,p25,p75,p95,zero_count,minimum,maximum
sd300b,genuine,candidates_before_cap_a,candidates,true,prepare_a_diagnostics.candidates_after_duplicate_removal,,500,12426.57,10317.5,5350.3,8175.0,13996.5,27015.199999999993,0,1980.0,36063.0
sd300b,genuine,candidates_before_cap_b,candidates,true,prepare_b_diagnostics.candidates_after_duplicate_removal,,500,36882.964,36783.0,26979.65,32752.5,41020.0,46945.39999999999,0,20060.0,57786.0
sd300b,genuine,candidate_to_final_ratio_a,ratio,true,candidates_before_cap/final,,500,4.143202666666666,3.439166666666667,1.7834333333333334,2.7249999999999996,4.6655,9.005066666666664,0,1.0,12.021
sd300b,genuine,candidate_to_final_ratio_b,ratio,true,candidates_before_cap/final,,500,12.294321333333333,12.261,8.993216666666667,10.9175,13.673333333333334,15.648466666666662,0,6.6866666666666665,19.262
sd300b,genuine,median_keypoint_size_a,native_pixels,true,derived from scale index and frozen mapping,,500,3.8476955262170054,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,genuine,median_keypoint_size_b,native_pixels,true,derived from scale index and frozen mapping,,500,3.835979797464467,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,genuine,orientation_count_a,orientations,true,prepare_a_diagnostics.orientation_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,genuine,orientation_count_b,orientations,true,prepare_b_diagnostics.orientation_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,genuine,orientation_sample_count_min_a,samples,true,aggregate orientation diagnostic,,500,51.664,51.0,39.0,45.0,56.0,72.09999999999991,0,29.0,107.0
sd300b,genuine,orientation_sample_count_min_b,samples,true,aggregate orientation diagnostic,,500,58.746,57.0,53.0,56.0,60.0,74.0,0,34.0,96.0
