pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_roll_00001007_08,sd300c,plain_roll,00001007,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,1.68179702,118.4848,518.777,2.733,640.0105,ok,,
sd300c_plain_roll_00001007_09,sd300c,plain_roll,00001007,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,124.200368,131.1665,529.323,2.4698,662.9738,ok,,
sd300c_plain_roll_00001007_10,sd300c,plain_roll,00001007,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,0,80.1177,491.3001,1.2674,572.6992,ok,,
sd300c_plain_roll_00001008_01,sd300c,plain_roll,00001008,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,146.067021,296.8808,444.6668,8.8708,750.4427,ok,,
sd300c_plain_roll_00001008_02,sd300c,plain_roll,00001008,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,86.6502241,90.0633,465.859,2.1,558.0374,ok,,
sd300c_plain_roll_00001008_03,sd300c,plain_roll,00001008,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,82.3809981,100.3833,451.9938,4.0628,556.4548,ok,,
sd300c_plain_roll_00001008_04,sd300c,plain_roll,00001008,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,50.9770317,108.002,436.6696,3.1408,547.8261,ok,,
sd300c_plain_roll_00001008_05,sd300c,plain_roll,00001008,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,149.99214,89.8772,412.366,3.1916,505.4487,ok,,
sd300c_plain_roll_00001008_06,sd300c,plain_roll,00001008,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,261.325254,285.6376,447.7467,12.7074,746.1084,ok,,
sd300c_plain_roll_00001008_07,sd300c,plain_roll,00001008,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,29.6451665,85.4022,416.3871,3.0873,504.8914,ok,,
