dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id,reason_flags
sd300c,00001132,1,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001132_01,plain_self_below_40
sd300c,00001132,3,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001132_03,plain_self_below_40
sd300c,00001132,4,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001132_04,plain_self_below_40
sd300c,00001132,5,ok,0.0,ok,1108.0033076136444,sd300c_plain_roll_00001132_05,plain_self_below_40
sd300c,00001132,6,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001132_06,plain_self_below_40
sd300c,00001132,7,ok,0.0,ok,1154.2463823054504,sd300c_plain_roll_00001132_07,plain_self_below_40
sd300c,00001132,8,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001132_08,plain_self_below_40
sd300c,00001132,9,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001132_09,plain_self_below_40
sd300c,00001134,2,ok,0.0,ok,851.5174479335209,sd300c_plain_roll_00001134_02,plain_self_below_40
sd300c,00001134,4,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001134_04,plain_self_below_40
sd300c,00001134,5,ok,0.0,ok,1059.4159254526585,sd300c_plain_roll_00001134_05,plain_self_below_40
sd300c,00001137,3,ok,420.1548663526649,ok,31.89454412241004,sd300c_plain_roll_00001137_03,roll_self_below_40
sd300c,00001137,10,ok,0.0,ok,512.978454294375,sd300c_plain_roll_00001137_10,plain_self_below_40
sd300c,00001141,4,ok,828.2005516318528,ok,16.586865026205977,sd300c_plain_roll_00001141_04,roll_self_below_40
sd300c,00001141,6,ok,0.0,ok,1049.4940013530695,sd300c_plain_roll_00001141_06,plain_self_below_40
sd300c,00001141,10,ok,618.3484849168419,ok,0.0,sd300c_plain_roll_00001141_10,roll_self_below_40
sd300c,00001142,2,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001160,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001160,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001165,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001165,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001167,10,ok,16.586865026205977,ok,1166.1001890502716,sd300c_plain_roll_00001167_10,plain_self_below_40
sd300c,00001179,10,ok,16.586865026205977,ok,1166.1001890502716,sd300c_plain_roll_00001179_10,plain_self_below_40
sd300c,00001183,9,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001183_09,plain_self_below_40
sd300c,00001183,10,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001183_10,plain_self_below_40
sd300c,00001200,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001204,2,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001204_02,plain_self_below_40
sd300c,00001204,7,ok,23.165117663467225,ok,443.4717626543328,sd300c_plain_roll_00001204_07,plain_self_below_40
sd300c,00001204,9,ok,0.0,ok,221.96124815026528,sd300c_plain_roll_00001204_09,plain_self_below_40
sd300c,00001204,10,ok,0.0,ok,233.61969630109917,sd300c_plain_roll_00001204_10,plain_self_below_40
sd300c,00001215,10,,,ok,560.0562438008951,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001217,5,,,ok,548.3977963736156,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001217,7,ok,0.0,ok,571.3160002052697,sd300c_plain_roll_00001217_07,plain_self_below_40
sd300c,00001217,10,ok,31.89454412241004,ok,364.0787245824625,sd300c_plain_roll_00001217_10,plain_self_below_40
sd300c,00001228,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001231,7,,,ok,268.59504075360104,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001232,5,ok,0.0,ok,0.0,sd300c_plain_roll_00001232_05,plain_self_below_40;roll_self_below_40
sd300c,00001238,9,ok,0.0,ok,1026.3941705578072,sd300c_plain_roll_00001238_09,plain_self_below_40
sd300c,00001240,10,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001240_10,plain_self_below_40
sd300c,00001255,7,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001255_07,plain_self_below_40
sd300c,00001255,9,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001255_09,plain_self_below_40
sd300c,00001255,10,ok,0.0,ok,1118.684960262099,sd300c_plain_roll_00001255_10,plain_self_below_40
sd300c,00001262,5,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001262_05,plain_self_below_40
sd300c,00001265,5,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001265_05,plain_self_below_40
sd300c,00001269,5,,,ok,874.573865627502,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001272,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001281,2,ok,0.0,ok,256.93659260276706,sd300c_plain_roll_00001281_02,plain_self_below_40
sd300c,00001281,3,ok,0.0,ok,106.65812994866988,sd300c_plain_roll_00001281_03,plain_self_below_40
sd300c,00001281,4,ok,0.0,ok,268.59504075360104,sd300c_plain_roll_00001281_04,plain_self_below_40
sd300c,00001281,5,ok,0.0,ok,279.43949325541394,sd300c_plain_roll_00001281_05,plain_self_below_40
sd300c,00001281,6,ok,0.0,ok,1166.1001890502716,sd300c_plain_roll_00001281_06,plain_self_below_40
sd300c,00001281,7,ok,0.0,ok,198.64435184859735,sd300c_plain_roll_00001281_07,plain_self_below_40
sd300c,00001281,10,ok,0.0,ok,140.35211109442767,sd300c_plain_roll_00001281_10,plain_self_below_40
sd300c,00001284,10,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001284_10,plain_self_below_40
sd300c,00001285,1,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001285_01,plain_self_below_40
sd300c,00001285,2,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001285_02,plain_self_below_40
sd300c,00001285,3,ok,0.0,ok,1166.1001890502716,sd300c_plain_roll_00001285_03,plain_self_below_40
sd300c,00001285,4,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001285_04,plain_self_below_40
sd300c,00001285,5,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001285_05,plain_self_below_40
sd300c,00001285,7,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001285_07,plain_self_below_40
sd300c,00001285,8,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001285_08,plain_self_below_40
