dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status,reason_flags
sd300b,00001165,1,,sd300b_roll_self_00001165_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001165,6,,sd300b_roll_self_00001165_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001200,5,,sd300b_roll_self_00001200_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001215,10,,sd300b_roll_self_00001215_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001217,5,,sd300b_roll_self_00001217_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001228,5,,sd300b_roll_self_00001228_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001231,7,,sd300b_roll_self_00001231_07,,,accepted,,ok,,939.0,,,,,,,939,939,939,939,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001269,5,,sd300b_roll_self_00001269_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001272,5,,sd300b_roll_self_00001272_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001289,5,,sd300b_roll_self_00001289_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001310,5,,sd300b_roll_self_00001310_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001323,1,,sd300b_roll_self_00001323_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001323,6,,sd300b_roll_self_00001323_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001329,1,,sd300b_roll_self_00001329_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001329,6,,sd300b_roll_self_00001329_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001335,5,,sd300b_roll_self_00001335_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001335,10,,sd300b_roll_self_00001335_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001356,1,,sd300b_roll_self_00001356_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001356,6,,sd300b_roll_self_00001356_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001362,3,,sd300b_roll_self_00001362_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
